{'loss': 0.5058, 'grad_norm': 19.049734115600586, 'learning_rate': 4.248452696728559e-05, 'epoch': 0.45}
{'loss': 0.464, 'grad_norm': 11.378251075744629, 'learning_rate': 4.239610963748895e-05, 'epoch': 0.46}
{'loss': 0.7026, 'grad_norm': 24.04034423828125, 'learning_rate': 4.230769230769231e-05, 'epoch': 0.46}
{'loss': 0.5338, 'grad_norm': 59.881317138671875, 'learning_rate': 4.221927497789567e-05, 'epoch': 0.47}
{'loss': 0.3619, 'grad_norm': 12.535207748413086, 'learning_rate': 4.213085764809903e-05, 'epoch': 0.47}
{'loss': 0.5657, 'grad_norm': 32.776893615722656, 'learning_rate': 4.204244031830239e-05, 'epoch': 0.48}
{'loss': 0.4662, 'grad_norm': 8.136828422546387, 'learning_rate': 4.195402298850575e-05, 'epoch': 0.48}
{'loss': 0.4794, 'grad_norm': 9.294454574584961, 'learning_rate': 4.186560565870911e-05, 'epoch': 0.49}
{'loss': 0.3141, 'grad_norm': 17.835405349731445, 'learning_rate': 4.177718832891247e-05, 'epoch': 0.49}
{'loss': 0.6124, 'grad_norm': 16.252225875854492, 'learning_rate': 4.168877099911583e-05, 'epoch': 0.5}
{'loss': 0.434, 'grad_norm': 17.581249237060547, 'learning_rate': 4.160035366931919e-05, 'epoch': 0.5}
{'loss': 0.3111, 'grad_norm': 21.955060958862305, 'learning_rate': 4.151193633952255e-05, 'epoch': 0.51}
{'loss': 0.6057, 'grad_norm': 0.28002509474754333, 'learning_rate': 4.142351900972591e-05, 'epoch': 0.51}
{'loss': 0.5599, 'grad_norm': 23.00815200805664, 'learning_rate': 4.1335101679929264e-05, 'epoch': 0.52}
{'loss': 0.5194, 'grad_norm': 32.7321662902832, 'learning_rate': 4.124668435013263e-05, 'epoch': 0.53}
{'loss': 0.564, 'grad_norm': 31.5662784576416, 'learning_rate': 4.1158267020335985e-05, 'epoch': 0.53}
{'loss': 0.5689, 'grad_norm': 25.425018310546875, 'learning_rate': 4.1069849690539346e-05, 'epoch': 0.54}
{'loss': 0.2875, 'grad_norm': 7.743902683258057, 'learning_rate': 4.098143236074271e-05, 'epoch': 0.54}
{'loss': 0.2334, 'grad_norm': 13.150287628173828, 'learning_rate': 4.089301503094607e-05, 'epoch': 0.55}
{'loss': 0.6179, 'grad_norm': 15.289695739746094, 'learning_rate': 4.080459770114943e-05, 'epoch': 0.55}
{'loss': 0.5639, 'grad_norm': 3.547515630722046, 'learning_rate': 4.071618037135278e-05, 'epoch': 0.56}
{'loss': 0.2937, 'grad_norm': 11.491806030273438, 'learning_rate': 4.062776304155615e-05, 'epoch': 0.56}
{'loss': 0.4334, 'grad_norm': 24.49881935119629, 'learning_rate': 4.0539345711759505e-05, 'epoch': 0.57}
{'loss': 0.2781, 'grad_norm': 4.188756465911865, 'learning_rate': 4.0450928381962866e-05, 'epoch': 0.57}
{'loss': 0.5888, 'grad_norm': 2.4863767623901367, 'learning_rate': 4.036251105216623e-05, 'epoch': 0.58}
{'loss': 0.7971, 'grad_norm': 0.33749261498451233, 'learning_rate': 4.027409372236959e-05, 'epoch': 0.58}
{'loss': 0.5401, 'grad_norm': 8.914063453674316, 'learning_rate': 4.018567639257295e-05, 'epoch': 0.59}
{'loss': 0.2743, 'grad_norm': 1.5578233003616333, 'learning_rate': 4.00972590627763e-05, 'epoch': 0.59}
{'loss': 0.444, 'grad_norm': 16.263845443725586, 'learning_rate': 4.000884173297967e-05, 'epoch': 0.6}
{'loss': 0.9866, 'grad_norm': 5.308361530303955, 'learning_rate': 3.9920424403183025e-05, 'epoch': 0.6}
{'loss': 0.4147, 'grad_norm': 3.5805296897888184, 'learning_rate': 3.9832007073386386e-05, 'epoch': 0.61}
{'loss': 0.7425, 'grad_norm': 13.802217483520508, 'learning_rate': 3.974358974358974e-05, 'epoch': 0.62}
{'loss': 0.3712, 'grad_norm': 11.223008155822754, 'learning_rate': 3.965517241379311e-05, 'epoch': 0.62}
{'loss': 0.2347, 'grad_norm': 3.551062822341919, 'learning_rate': 3.956675508399647e-05, 'epoch': 0.63}
{'loss': 0.4424, 'grad_norm': 4.8979339599609375, 'learning_rate': 3.947833775419982e-05, 'epoch': 0.63}
{'loss': 0.5758, 'grad_norm': 12.82463550567627, 'learning_rate': 3.938992042440319e-05, 'epoch': 0.64}
{'loss': 0.6424, 'grad_norm': 6.435306072235107, 'learning_rate': 3.9301503094606544e-05, 'epoch': 0.64}
{'loss': 0.547, 'grad_norm': 9.552889823913574, 'learning_rate': 3.9213085764809905e-05, 'epoch': 0.65}
{'loss': 0.6195, 'grad_norm': 3.725939989089966, 'learning_rate': 3.912466843501326e-05, 'epoch': 0.65}
{'loss': 0.3852, 'grad_norm': 3.7242190837860107, 'learning_rate': 3.903625110521663e-05, 'epoch': 0.66}
{'loss': 0.452, 'grad_norm': 13.73865032196045, 'learning_rate': 3.894783377541998e-05, 'epoch': 0.66}
{'loss': 0.5125, 'grad_norm': 14.378954887390137, 'learning_rate': 3.885941644562334e-05, 'epoch': 0.67}
{'loss': 0.4061, 'grad_norm': 8.479198455810547, 'learning_rate': 3.87709991158267e-05, 'epoch': 0.67}
{'loss': 0.4477, 'grad_norm': 5.671669006347656, 'learning_rate': 3.8682581786030064e-05, 'epoch': 0.68}
{'loss': 0.5078, 'grad_norm': 6.40233850479126, 'learning_rate': 3.8594164456233425e-05, 'epoch': 0.68}
{'loss': 0.3417, 'grad_norm': 8.862184524536133, 'learning_rate': 3.850574712643678e-05, 'epoch': 0.69}
{'loss': 0.2798, 'grad_norm': 2.1355576515197754, 'learning_rate': 3.841732979664015e-05, 'epoch': 0.69}
{'loss': 0.4857, 'grad_norm': 1.4557337760925293, 'learning_rate': 3.83289124668435e-05, 'epoch': 0.7}
{'loss': 0.2012, 'grad_norm': 7.19050407409668, 'learning_rate': 3.824049513704686e-05, 'epoch': 0.71}
{'loss': 0.5349, 'grad_norm': 31.310110092163086, 'learning_rate': 3.815207780725022e-05, 'epoch': 0.71}
{'loss': 0.4081, 'grad_norm': 1.4232853651046753, 'learning_rate': 3.8063660477453584e-05, 'epoch': 0.72}
{'loss': 0.6515, 'grad_norm': 1.049209713935852, 'learning_rate': 3.7975243147656945e-05, 'epoch': 0.72}
{'loss': 0.7112, 'grad_norm': 4.017360687255859, 'learning_rate': 3.78868258178603e-05, 'epoch': 0.73}
{'loss': 0.5428, 'grad_norm': 32.64695739746094, 'learning_rate': 3.7798408488063666e-05, 'epoch': 0.73}
{'loss': 0.5103, 'grad_norm': 19.860254287719727, 'learning_rate': 3.770999115826702e-05, 'epoch': 0.74}
{'loss': 0.6767, 'grad_norm': 0.5657809376716614, 'learning_rate': 3.762157382847038e-05, 'epoch': 0.74}
{'loss': 0.6965, 'grad_norm': 8.942787170410156, 'learning_rate': 3.753315649867374e-05, 'epoch': 0.75}
{'loss': 0.4477, 'grad_norm': 21.99022102355957, 'learning_rate': 3.74447391688771e-05, 'epoch': 0.75}
{'loss': 0.374, 'grad_norm': 4.630677223205566, 'learning_rate': 3.735632183908046e-05, 'epoch': 0.76}
{'loss': 0.5191, 'grad_norm': 2.6071157455444336, 'learning_rate': 3.7267904509283825e-05, 'epoch': 0.76}
{'loss': 0.3419, 'grad_norm': 7.26697301864624, 'learning_rate': 3.717948717948718e-05, 'epoch': 0.77}
{'loss': 0.4449, 'grad_norm': 4.078152179718018, 'learning_rate': 3.709106984969054e-05, 'epoch': 0.77}
{'loss': 0.6041, 'grad_norm': 4.028279781341553, 'learning_rate': 3.70026525198939e-05, 'epoch': 0.78}
{'loss': 0.3208, 'grad_norm': 2.4318151473999023, 'learning_rate': 3.691423519009726e-05, 'epoch': 0.79}
{'loss': 0.6131, 'grad_norm': 5.188989639282227, 'learning_rate': 3.682581786030062e-05, 'epoch': 0.79}
{'loss': 0.2295, 'grad_norm': 2.8425185680389404, 'learning_rate': 3.673740053050398e-05, 'epoch': 0.8}
{'loss': 0.6119, 'grad_norm': 2.98477840423584, 'learning_rate': 3.6648983200707345e-05, 'epoch': 0.8}
{'loss': 0.5447, 'grad_norm': 16.493019104003906, 'learning_rate': 3.65605658709107e-05, 'epoch': 0.81}
{'loss': 0.6131, 'grad_norm': 2.2405054569244385, 'learning_rate': 3.647214854111406e-05, 'epoch': 0.81}
{'loss': 0.2473, 'grad_norm': 8.363046646118164, 'learning_rate': 3.638373121131742e-05, 'epoch': 0.82}
{'loss': 0.312, 'grad_norm': 28.687267303466797, 'learning_rate': 3.629531388152078e-05, 'epoch': 0.82}
{'loss': 0.7298, 'grad_norm': 44.898170471191406, 'learning_rate': 3.620689655172414e-05, 'epoch': 0.83}
{'loss': 0.3224, 'grad_norm': 14.985363006591797, 'learning_rate': 3.6118479221927497e-05, 'epoch': 0.83}
{'loss': 0.5605, 'grad_norm': 0.6361320614814758, 'learning_rate': 3.6030061892130864e-05, 'epoch': 0.84}
{'loss': 0.4777, 'grad_norm': 51.8279914855957, 'learning_rate': 3.594164456233422e-05, 'epoch': 0.84}
{'loss': 0.9369, 'grad_norm': 2.6029300689697266, 'learning_rate': 3.585322723253758e-05, 'epoch': 0.85}
{'loss': 0.7233, 'grad_norm': 5.113613128662109, 'learning_rate': 3.5764809902740933e-05, 'epoch': 0.85}
{'loss': 0.3448, 'grad_norm': 1.4827426671981812, 'learning_rate': 3.56763925729443e-05, 'epoch': 0.86}
{'loss': 0.8755, 'grad_norm': 0.7257339954376221, 'learning_rate': 3.558797524314766e-05, 'epoch': 0.86}
{'loss': 0.5436, 'grad_norm': 0.9453366994857788, 'learning_rate': 3.5499557913351016e-05, 'epoch': 0.87}
{'loss': 0.3521, 'grad_norm': 0.9582481384277344, 'learning_rate': 3.5411140583554384e-05, 'epoch': 0.88}
{'loss': 0.8798, 'grad_norm': 0.3557393550872803, 'learning_rate': 3.532272325375774e-05, 'epoch': 0.88}
{'loss': 0.7058, 'grad_norm': 39.26508331298828, 'learning_rate': 3.52343059239611e-05, 'epoch': 0.89}
{'loss': 0.3039, 'grad_norm': 7.388888359069824, 'learning_rate': 3.514588859416445e-05, 'epoch': 0.89}
{'loss': 0.4287, 'grad_norm': 11.23446273803711, 'learning_rate': 3.505747126436782e-05, 'epoch': 0.9}
{'loss': 0.5773, 'grad_norm': 2.634277820587158, 'learning_rate': 3.4969053934571175e-05, 'epoch': 0.9}
{'loss': 0.3286, 'grad_norm': 9.582395553588867, 'learning_rate': 3.4880636604774536e-05, 'epoch': 0.91}
{'loss': 0.4577, 'grad_norm': 23.65068244934082, 'learning_rate': 3.47922192749779e-05, 'epoch': 0.91}
{'loss': 0.3182, 'grad_norm': 0.7271459698677063, 'learning_rate': 3.470380194518126e-05, 'epoch': 0.92}
{'loss': 0.4539, 'grad_norm': 26.802539825439453, 'learning_rate': 3.461538461538462e-05, 'epoch': 0.92}
{'loss': 0.5149, 'grad_norm': 2.337658405303955, 'learning_rate': 3.452696728558797e-05, 'epoch': 0.93}
{'loss': 0.6694, 'grad_norm': 0.19374731183052063, 'learning_rate': 3.443854995579134e-05, 'epoch': 0.93}
{'loss': 0.9277, 'grad_norm': 37.877838134765625, 'learning_rate': 3.4350132625994695e-05, 'epoch': 0.94}
{'loss': 0.2458, 'grad_norm': 6.551138401031494, 'learning_rate': 3.4261715296198055e-05, 'epoch': 0.94}
{'loss': 0.2471, 'grad_norm': 3.0834953784942627, 'learning_rate': 3.4173297966401416e-05, 'epoch': 0.95}
{'loss': 0.5731, 'grad_norm': 0.3714529871940613, 'learning_rate': 3.408488063660478e-05, 'epoch': 0.95}
{'loss': 0.9038, 'grad_norm': 0.2798752188682556, 'learning_rate': 3.399646330680814e-05, 'epoch': 0.96}
{'loss': 0.5654, 'grad_norm': 8.468062400817871, 'learning_rate': 3.390804597701149e-05, 'epoch': 0.97}
{'loss': 0.2873, 'grad_norm': 4.1962738037109375, 'learning_rate': 3.381962864721486e-05, 'epoch': 0.97}
{'loss': 0.662, 'grad_norm': 1.0602835416793823, 'learning_rate': 3.3731211317418214e-05, 'epoch': 0.98}
{'loss': 0.3714, 'grad_norm': 26.087787628173828, 'learning_rate': 3.3642793987621575e-05, 'epoch': 0.98}
{'loss': 0.6233, 'grad_norm': 0.26490333676338196, 'learning_rate': 3.3554376657824936e-05, 'epoch': 0.99}
{'loss': 0.2332, 'grad_norm': 14.056142807006836, 'learning_rate': 3.34659593280283e-05, 'epoch': 0.99}
{'loss': 0.4584, 'grad_norm': 0.4405285120010376, 'learning_rate': 3.337754199823165e-05, 'epoch': 1.0}
